,filter/model,classifier,encoder,feature_names,accuracy,precision,recall,ppv,accuracy_0.5,precision_0.5,recall_0.5,ppv_0.5,accuracy_0.2,precision_0.2,recall_0.2,ppv_0.2,accuracy_0.01,precision_0.01,recall_0.01,ppv_0.01,accuracy_0.001,precision_0.001,recall_0.001,ppv_0.001,accuracy_0.0001,precision_0.0001,recall_0.0001,ppv_0.0001,k
0,choi,lr,freq,"['src_p', 'dst_p', 'response_code', 'response_line', 'content_length', 'request_method', 'request_uri', 'user_agent', 'server', 'content_type', 'file_data', 'authorization', 'x_forwarded_for', 'transfer_encoding', 'flow_freq']",0.9995468962392388,0.9997733454215775,0.9993203443588582,0.9997733454215775,0.9993203443588582,0.9995466908431551,0.9990937924784775,0.9995466908431551,0.9995468962392388,0.9988674971687429,0.9988674971687429,0.9954853273137697,0.9997734481196194,0.9777777777777777,1.0,0.3076923076923077,0.9997734481196194,0.8,1.0,0.0039880358923230315,0.9997734481196194,0.0,0.0,0.0,15
1,fisher,lr,freq,"['src_p', 'dst_p', 'response_code', 'response_line', 'content_length', 'time', 'request_method', 'request_uri', 'user_agent', 'server', 'content_type', 'file_data', 'x_forwarded_for', 'transfer_encoding', 'flow_freq']",0.9995468962392388,0.9997733454215775,0.9993203443588582,0.9997733454215775,0.9995468962392388,0.9995468962392388,0.9995468962392388,0.9995468962392388,0.9995468962392388,0.9988674971687429,0.9988674971687429,0.9954853273137697,0.9997734481196194,0.9777777777777777,1.0,0.3076923076923077,0.9997734481196194,0.8,1.0,0.0039880358923230315,0.9997734481196194,0.0,0.0,0.0,15
2,choi,lr,hash,"['col_0', 'col_1', 'col_2', 'col_3', 'col_4', 'col_5', 'col_6', 'col_7', 'time', 'flow_freq']",0.9698685999093792,0.9566270365477763,0.9843679202537381,0.9566270365477763,0.9689623923878569,0.9547451669595782,0.9845944721341187,0.9547451669595782,0.9605799728137744,0.8438409311348206,0.9852774631936579,0.5746367239101717,0.9560489352061622,0.18220338983050846,0.9772727272727273,0.0022454308093994776,0.955595831445401,0.02,1.0,2.0428174538323256e-05,0.9553692795650204,0.0,0.0,0.0,10
3,fisher,lr,hash,"['col_0', 'col_1', 'col_2', 'col_3', 'col_4', 'col_5', 'col_6', 'col_7', 'time', 'flow_freq']",0.9698685999093792,0.9566270365477763,0.9843679202537381,0.9566270365477763,0.9707748074309017,0.9561018437225637,0.9868599909379248,0.9561018437225637,0.960806524694155,0.8487229862475442,0.9784824462061155,0.5837837837837838,0.9558223833257816,0.18410041841004185,1.0,0.0022740193291642978,0.9553692795650204,0.01990049751243781,1.0,2.0324480328443605e-05,0.9553692795650204,0.0,0.0,0.0,10
4,choi,lr,woe,"['src_p', 'dst_p', 'response_code', 'response_line', 'content_length', 'time', 'request_method', 'request_uri', 'user_agent', 'server', 'content_type', 'file_data', 'request_uri_query', 'authorization', 'authbasic', 'cookie', 'referer', 'x_forwarded_for', 'transfer_encoding', 'flow_freq']",0.9994336202990485,0.9995467935644686,0.9993203443588582,0.9995467935644686,0.9995468962392388,0.9995468962392388,0.9995468962392388,0.9995468962392388,0.9995468962392388,0.9977401129943503,1.0,0.9910213243546577,0.9995468962392388,0.9565217391304348,1.0,0.18181818181818182,0.9995468962392388,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0,20
5,fisher,lr,woe,"['src_p', 'dst_p', 'response_code', 'response_line', 'content_length', 'time', 'request_method', 'request_uri', 'user_agent', 'server', 'content_type', 'file_data', 'request_uri_query', 'authorization', 'authbasic', 'cookie', 'referer', 'x_forwarded_for', 'transfer_encoding', 'flow_freq']",0.9994336202990485,0.9995467935644686,0.9993203443588582,0.9995467935644686,0.9995468962392388,1.0,0.9990937924784775,1.0,0.9997734481196194,0.998868778280543,1.0,0.9954904171364148,0.9995468962392388,0.9565217391304348,1.0,0.18181818181818182,0.9995468962392388,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0,20
6,mutinf,lr,woe,"['src_p', 'dst_p', 'response_code', 'response_line', 'content_length', 'time', 'request_method', 'request_uri', 'user_agent', 'server', 'content_type', 'file_data', 'request_uri_query', 'authorization', 'authbasic', 'cookie', 'x_forwarded_for', 'cache_control', 'transfer_encoding', 'flow_freq']",0.9995468962392388,0.9997733454215775,0.9993203443588582,0.9997733454215775,0.9995468962392388,0.9995468962392388,0.9995468962392388,0.9995468962392388,0.9995468962392388,0.9988674971687429,0.9988674971687429,0.9954853273137697,0.9997734481196194,0.9777777777777777,1.0,0.3076923076923077,0.9997734481196194,0.8,1.0,0.0039880358923230315,0.9997734481196194,0.0,0.0,0.0,20
7,fisher,lr,woe,"['src_p', 'dst_p', 'response_code', 'response_line', 'content_length', 'time', 'request_method', 'request_uri', 'user_agent', 'server', 'content_type', 'file_data', 'x_forwarded_for', 'transfer_encoding', 'flow_freq']",0.9995468962392388,0.9990946129470348,1.0,0.9990946129470348,0.9997734481196194,0.9995471014492754,1.0,0.9995471014492754,0.9993203443588582,0.9966139954853274,1.0,0.9865921787709497,0.9990937924784775,0.9166666666666666,1.0,0.09999999999999999,0.9990937924784775,0.5,1.0,0.001,0.9990937924784775,0.0,0.0,0.0,15
8,choi,lr,cat,"['src_p', 'response_code', 'content_length', 'time', 'request_uri', 'user_agent', 'content_type', 'file_data', 'request_uri_query', 'flow_freq']",0.999660172179429,0.9995469988674972,0.9997734481196194,0.9995469988674972,1.0,1.0,1.0,1.0,0.9995468962392388,0.9977401129943503,1.0,0.9910213243546577,0.9995468962392388,0.9565217391304348,1.0,0.18181818181818182,0.9995468962392388,0.6666666666666666,1.0,0.0019980019980019984,0.9995468962392388,0.0,0.0,0.0,10
9,fisher,lr,cat,"['dst_p', 'response_code', 'response_line', 'time', 'request_uri', 'user_agent', 'server', 'file_data', 'x_forwarded_for', 'flow_freq']",0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9997734481196194,0.9995471014492754,1.0,0.9995471014492754,0.9995468962392388,0.9988674971687429,0.9988674971687429,0.9954853273137697,0.9997734481196194,0.9777777777777777,1.0,0.3076923076923077,0.9997734481196194,0.8,1.0,0.0039880358923230315,0.9997734481196194,0.0,0.0,0.0,10
