,filter/model,classifier,encoder,feature_names,accuracy,precision,recall,ppv,accuracy_0.5,precision_0.5,recall_0.5,ppv_0.5,accuracy_0.2,precision_0.2,recall_0.2,ppv_0.2,accuracy_0.01,precision_0.01,recall_0.01,ppv_0.01,accuracy_0.001,precision_0.001,recall_0.001,ppv_0.001,accuracy_0.0001,precision_0.0001,recall_0.0001,ppv_0.0001,k
0,choi,lr,freq,flow_freq,1.0,1.0,0.999,1.0,0.999,1.0,0.999,1.0,1.0,0.999,0.999,0.995,1.0,0.978,1.0,0.308,1.0,0.8,1.0,0.004,1.0,0.0,0.0,0.0,15
1,fisher,lr,freq,flow_freq,1.0,1.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.995,1.0,0.978,1.0,0.308,1.0,0.8,1.0,0.004,1.0,0.0,0.0,0.0,15
2,choi,lr,hash,flow_freq,0.97,0.957,0.984,0.957,0.969,0.955,0.985,0.955,0.961,0.844,0.985,0.575,0.956,0.182,0.977,0.002,0.956,0.02,1.0,0.0,0.955,0.0,0.0,0.0,10
3,fisher,lr,hash,flow_freq,0.97,0.957,0.984,0.957,0.971,0.956,0.987,0.956,0.961,0.849,0.978,0.584,0.956,0.184,1.0,0.002,0.955,0.02,1.0,0.0,0.955,0.0,0.0,0.0,10
4,choi,lr,woe,flow_freq,0.999,1.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,0.998,1.0,0.991,1.0,0.957,1.0,0.182,1.0,0.667,1.0,0.002,1.0,0.0,0.0,0.0,20
5,fisher,lr,woe,flow_freq,0.999,1.0,0.999,1.0,1.0,1.0,0.999,1.0,1.0,0.999,1.0,0.995,1.0,0.957,1.0,0.182,1.0,0.667,1.0,0.002,1.0,0.0,0.0,0.0,20
6,mutinf,lr,woe,flow_freq,1.0,1.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.995,1.0,0.978,1.0,0.308,1.0,0.8,1.0,0.004,1.0,0.0,0.0,0.0,20
7,fisher,lr,woe,flow_freq,1.0,0.999,1.0,0.999,1.0,1.0,1.0,1.0,0.999,0.997,1.0,0.987,0.999,0.917,1.0,0.1,0.999,0.5,1.0,0.001,0.999,0.0,0.0,0.0,15
8,choi,lr,cat,flow_freq,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998,1.0,0.991,1.0,0.957,1.0,0.182,1.0,0.667,1.0,0.002,1.0,0.0,0.0,0.0,10
9,fisher,lr,cat,flow_freq,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.995,1.0,0.978,1.0,0.308,1.0,0.8,1.0,0.004,1.0,0.0,0.0,0.0,10
10,mutinf,lr,cat,flow_freq,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15
11,choi,lr,cat,flow_freq,0.999,1.0,0.999,1.0,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.991,1.0,0.957,1.0,0.182,1.0,0.667,1.0,0.002,1.0,0.0,0.0,0.0,15
12,fisher,lr,cat,flow_freq,0.999,1.0,0.999,1.0,0.999,0.999,0.999,0.999,0.999,0.998,0.999,0.991,1.0,0.957,1.0,0.182,1.0,0.667,1.0,0.002,1.0,0.0,0.0,0.0,15
13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
