Id,Request Tijdstempel,Response Tijdstempel,Methode,URL,Code,Reden,RTT,Grootte Resp. Header,Grootte Resp. Body
144,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,GET,http://172.18.0.4:30001/786790410230118229,404,Not Found,7,430,31
146,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,GET,http://172.18.0.4:30001/css/3382523107937556262,404,Not Found,5,307,36
148,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,GET,http://172.18.0.4:30001/img/5717897623431467528,404,Not Found,4,307,36
150,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,GET,http://172.18.0.4:30001/js/4910771533823093039,404,Not Found,13,308,35
152,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,19,308,34
153,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,47,307,34
154,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,4,307,34
155,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,8,307,34
156,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,6,307,34
157,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,50,307,34
158,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,8,307,34
159,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,9,307,34
160,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,44,307,34
161,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,6,307,34
162,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,5,307,34
163,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,56,307,34
164,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,15,307,34
165,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:04 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,6,307,34
166,Mon Mar 20 13:42:04 CET 2023,Mon Mar 20 13:42:05 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,51,307,34
167,Mon Mar 20 13:42:05 CET 2023,Mon Mar 20 13:42:05 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,16,307,34
168,Mon Mar 20 13:42:05 CET 2023,Mon Mar 20 13:42:05 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,6,307,34
169,Mon Mar 20 13:42:05 CET 2023,Mon Mar 20 13:42:05 CET 2023,POST,http://172.18.0.4:30001/customer-orders.html,404,Not Found,53,307,34
170,Mon Mar 20 13:42:05 CET 2023,Mon Mar 20 13:42:05 CET 2023,GET,http://172.18.0.4:30001/basket.html?card-number=c%3A%2FWindows%2Fsystem.ini&ccv=ZAP&expires=ZAP,200,OK,3,400,23388
171,Mon Mar 20 13:42:05 CET 2023,Mon Mar 20 13:42:05 CET 2023,GET,http://172.18.0.4:30001/basket.html?card-number=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2FWindows%2Fsystem.ini&ccv=ZAP&expires=ZAP,200,OK,8,400,23388
172,Mon Mar 20 13:42:05 CET 2023,Mon Mar 20 13:42:05 CET 2023,GET,http://172.18.0.4:30001/basket.html?card-number=c%3A%5CWindows%5Csystem.ini&ccv=ZAP&expires=ZAP,200,OK,2,400,23388
173,Mon Mar 20 13:42:05 CET 2023,Mon Mar 20 13:42:05 CET 2023,GET,http://172.18.0.4:30001/basket.html?card-number=..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5CWindows%5Csystem.ini&ccv=ZAP&expires=ZAP,200,OK,3,400,23388
174,Mon Mar 20 13:42:05 CET 2023,Mon Mar 20 13:42:05 CET 2023,GET,http://172.18.0.4:30001/basket.html?city=c%3A%2FWindows%2Fsystem.ini&country=ZAP&house-number=ZAP&post-code=ZAP&street=ZAP,200,OK,5,400,23388
