type,url,protocol, Host, User-Agent, Accept-Encoding, Accept, Connection, content-type, Content-Length," {""username""",response code, x-powered-by, set-cookie, content-length, etag, date, x-envoy-upstream-service-time, server, x-envoy-decorator-operation," 
{""id""",body,coockie, Cookie," {""street""", transfer-encoding," {""longNum""", Authorization, accept-ranges, cache-control, last-modified," 
upstream connect error or disconnect/reset before headers. reset reason"," 
{""timestamp"""," {""id"""," 
{""message"""
POST,/register,"HTTP/1.1
", 172.18.0.4," python-requests/2.27.1
"," gzip, deflate, br
"," */*
"," keep-alive
"," application/json& charset=utf-8
"," 122
"," ""EmmaCooper"", ""password"""," HTTP/1.1 200 OK
"," Express
"," md.sid=s%3AWJWEMt9KtGn6Iuy1ua2awvHB0uiSiyQa.B79lQpnvL1ioGtZKsd9UoaTzmi5aB%2FBuMLKxoMZbtMc& Path=/& HttpOnly
"," 33
"," W/""21-nlaguq0UjpEuV/EforW3yg""
"," Tue, 14 Feb 2023 14"," 531
"," istio-envoy
", front-end.sock-shop.svc.cluster.local,"""63eb9db5226b464e4a47608b""}",['}'],"<RequestsCookieJar[<Cookie logged_in=kGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K for 172.18.0.4/>, <Cookie md.sid=s%3AkGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K.DNcmbOse%2BlR%2FtN%2BrI9zNY%2FxhBpnumlhtYu34w7IhB9k for 172.18.0.4/>]>",,,,,,,,,,,,
POST,/addresses,"HTTP/1.1
", 172.18.0.4," python-requests/2.27.1
"," gzip, deflate, br
"," */*
"," keep-alive
"," application/json
"," 95
",," HTTP/1.1 200 OK
"," Express
",,,," Tue, 14 Feb 2023 14"," 207
"," istio-envoy
", front-end.sock-shop.svc.cluster.local,"""63eb9db5226b464e4a47608c""}",['}'],"<RequestsCookieJar[<Cookie logged_in=kGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K for 172.18.0.4/>, <Cookie md.sid=s%3AkGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K.DNcmbOse%2BlR%2FtN%2BrI9zNY%2FxhBpnumlhtYu34w7IhB9k for 172.18.0.4/>]>"," logged_in=WJWEMt9KtGn6Iuy1ua2awvHB0uiSiyQa& md.sid=s%3AWJWEMt9KtGn6Iuy1ua2awvHB0uiSiyQa.B79lQpnvL1ioGtZKsd9UoaTzmi5aB%2FBuMLKxoMZbtMc
"," ""6th Street"", ""number"""," chunked
",,,,,,,,,
POST,/cards,"HTTP/1.1
", 172.18.0.4," python-requests/2.27.1
"," gzip, deflate, br
"," */*
"," keep-alive
"," application/json
"," 57
",," HTTP/1.1 200 OK
"," Express
",,,," Tue, 14 Feb 2023 14"," 41
"," istio-envoy
", front-end.sock-shop.svc.cluster.local,"""63eb9db5226b464e4a47608d""}",['}'],"<RequestsCookieJar[<Cookie logged_in=kGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K for 172.18.0.4/>, <Cookie md.sid=s%3AkGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K.DNcmbOse%2BlR%2FtN%2BrI9zNY%2FxhBpnumlhtYu34w7IhB9k for 172.18.0.4/>]>"," logged_in=WJWEMt9KtGn6Iuy1ua2awvHB0uiSiyQa& md.sid=s%3AWJWEMt9KtGn6Iuy1ua2awvHB0uiSiyQa.B79lQpnvL1ioGtZKsd9UoaTzmi5aB%2FBuMLKxoMZbtMc
",," chunked
"," 23242298685, ""expires""",,,,,,,,
GET,/login,"HTTP/1.1
", 172.18.0.4," python-requests/2.27.1
"," gzip, deflate, br
"," */*
"," keep-alive
"," text/html& charset=utf-8
",,," HTTP/1.1 200 OK
"," Express
"," md.sid=s%3AkGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K.DNcmbOse%2BlR%2FtN%2BrI9zNY%2FxhBpnumlhtYu34w7IhB9k& Path=/& HttpOnly
"," 13
"," W/""d-lQNPvpW/v0Ek8HFiakJFUQ""
"," Tue, 14 Feb 2023 14"," 77
"," istio-envoy
", front-end.sock-shop.svc.cluster.local,,['t'],"<RequestsCookieJar[<Cookie logged_in=kGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K for 172.18.0.4/>, <Cookie md.sid=s%3AkGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K.DNcmbOse%2BlR%2FtN%2BrI9zNY%2FxhBpnumlhtYu34w7IhB9k for 172.18.0.4/>]>",,,,," Basic RW1tYUNvb3BlcjpYSHpiREhwTg==
",,,,,,,
GET,/catalogue?tags=sport%2Cblue%2Csport%2Csport%2Cbrown&page=1&size=100,"HTTP/1.1
", 172.18.0.4," python-requests/2.27.1
"," gzip, deflate, br
"," */*
"," keep-alive
",,,," HTTP/1.1 200 OK
"," Express
",,,," Tue, 14 Feb 2023 14"," 208
"," istio-envoy
", front-end.sock-shop.svc.cluster.local,,"{""id"":""a0a4f044-b040-410d-8ead-4de0446aec7e"",""name"":""Nerd leg"",""description"":""For all those leg lovers out there. A perfect example of a swivel chair trained calf. Meticulously trained on a diet of sitting and Pina Coladas. Phwarr..."",""imageUrl"":","<RequestsCookieJar[<Cookie logged_in=kGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K for 172.18.0.4/>, <Cookie md.sid=s%3AkGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K.DNcmbOse%2BlR%2FtN%2BrI9zNY%2FxhBpnumlhtYu34w7IhB9k for 172.18.0.4/>]>",,," chunked
",,,,,,,,,
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"HTTP/1.1
", 172.18.0.4," python-requests/2.27.1
"," gzip, deflate, br
"," */*
"," keep-alive
"," text/html& charset=UTF-8
",,," HTTP/1.1 200 OK
"," Express
",," 10364
"," W/""287c-17b1be86038""
"," Tue, 14 Feb 2023 14"," 10
"," istio-envoy
", front-end.sock-shop.svc.cluster.local,,['\n'],"<RequestsCookieJar[<Cookie logged_in=kGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K for 172.18.0.4/>, <Cookie md.sid=s%3AkGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K.DNcmbOse%2BlR%2FtN%2BrI9zNY%2FxhBpnumlhtYu34w7IhB9k for 172.18.0.4/>]>"," logged_in=kGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K& md.sid=s%3AkGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K.DNcmbOse%2BlR%2FtN%2BrI9zNY%2FxhBpnumlhtYu34w7IhB9k
",,,,," bytes
"," public, max-age=0
"," Fri, 06 Aug 2021 14",,,,
GET,/catalogue?tags=formal%2Cred%2Cmagic%2Cmagic&page=1&size=100,"HTTP/1.1
", 172.18.0.4," python-requests/2.27.1
"," gzip, deflate, br
"," */*
"," keep-alive
",,,," HTTP/1.1 200 OK
"," Express
",,,," Tue, 14 Feb 2023 14"," 4110
"," istio-envoy
", front-end.sock-shop.svc.cluster.local,,"{""id"":""808a2de1-1aaa-4c25-a9b9-6612e8f29a38"",""name"":""Crossed"",""description"":""A mature sock, crossed, with an air of nonchalance."",""imageUrl"":","<RequestsCookieJar[<Cookie logged_in=kGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K for 172.18.0.4/>, <Cookie md.sid=s%3AkGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K.DNcmbOse%2BlR%2FtN%2BrI9zNY%2FxhBpnumlhtYu34w7IhB9k for 172.18.0.4/>]>",,," chunked
",,,,,,,,,
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"HTTP/1.1
", 172.18.0.4," python-requests/2.27.1
"," gzip, deflate, br
"," */*
"," keep-alive
"," text/html& charset=UTF-8
",,," HTTP/1.1 200 OK
"," Express
",," 10364
"," W/""287c-17b1be86038""
"," Tue, 14 Feb 2023 14"," 119
"," istio-envoy
", front-end.sock-shop.svc.cluster.local,,['\n'],"<RequestsCookieJar[<Cookie logged_in=kGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K for 172.18.0.4/>, <Cookie md.sid=s%3AkGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K.DNcmbOse%2BlR%2FtN%2BrI9zNY%2FxhBpnumlhtYu34w7IhB9k for 172.18.0.4/>]>"," logged_in=kGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K& md.sid=s%3AkGlgxzjeZKjcdfIr7Edd7LLaTNMe9x-K.DNcmbOse%2BlR%2FtN%2BrI9zNY%2FxhBpnumlhtYu34w7IhB9k
",,,,," bytes
"," public, max-age=0
"," Fri, 06 Aug 2021 14",,,,
POST,/register,"HTTP/1.1
", 172.18.0.4," python-requests/2.27.1
"," gzip, deflate, br
"," */*
"," keep-alive
"," application/json& charset=utf-8
"," 119
"," ""ElenaRuiz"", ""password"""," HTTP/1.1 200 OK
"," Express
"," md.sid=s%3ApvT8mDzLEO0k7UH7a8fB59AGX4uQLg1K.hO5vEI%2Ft0am8yVkPChLDnkisx8jguWN71AKBvIKMgos& Path=/& HttpOnly
"," 33
"," W/""21-RhCukyNOvb+i/AO6z0FLBQ""
"," Tue, 14 Feb 2023 14"," 37
"," istio-envoy
", front-end.sock-shop.svc.cluster.local,"""63eb9db6226b464e4a47608e""}",['}'],"<RequestsCookieJar[<Cookie logged_in=kWjPaR4MenQvU6KcK3GrSVqf-bxYPXZI for 172.18.0.4/>, <Cookie md.sid=s%3AkWjPaR4MenQvU6KcK3GrSVqf-bxYPXZI.V809ef6cPNCaJg1i%2Bv%2FYzB9YOgQiPwYIdMLTnbmyJ70 for 172.18.0.4/>]>",,,,,,,,,,,,
POST,/addresses,"HTTP/1.1
", 172.18.0.4," python-requests/2.27.1
"," gzip, deflate, br
"," */*
"," keep-alive
"," application/json
"," 105
",," HTTP/1.1 200 OK
"," Express
",,,," Tue, 14 Feb 2023 14"," 79
"," istio-envoy
", front-end.sock-shop.svc.cluster.local,"""63eb9db6226b464e4a47608f""}",['}'],"<RequestsCookieJar[<Cookie logged_in=kWjPaR4MenQvU6KcK3GrSVqf-bxYPXZI for 172.18.0.4/>, <Cookie md.sid=s%3AkWjPaR4MenQvU6KcK3GrSVqf-bxYPXZI.V809ef6cPNCaJg1i%2Bv%2FYzB9YOgQiPwYIdMLTnbmyJ70 for 172.18.0.4/>]>"," logged_in=pvT8mDzLEO0k7UH7a8fB59AGX4uQLg1K& md.sid=s%3ApvT8mDzLEO0k7UH7a8fB59AGX4uQLg1K.hO5vEI%2Ft0am8yVkPChLDnkisx8jguWN71AKBvIKMgos
"," ""Main Street East "", ""number"""," chunked
",,,,,,,,,
POST,/cards,"HTTP/1.1
", 172.18.0.4," python-requests/2.27.1
"," gzip, deflate, br
"," */*
"," keep-alive
"," application/json
"," 57
",," HTTP/1.1 200 OK
"," Express
",,,," Tue, 14 Feb 2023 14"," 11
"," istio-envoy
", front-end.sock-shop.svc.cluster.local,"""63eb9db6226b464e4a476090""}",['}'],"<RequestsCookieJar[<Cookie logged_in=kWjPaR4MenQvU6KcK3GrSVqf-bxYPXZI for 172.18.0.4/>, <Cookie md.sid=s%3AkWjPaR4MenQvU6KcK3GrSVqf-bxYPXZI.V809ef6cPNCaJg1i%2Bv%2FYzB9YOgQiPwYIdMLTnbmyJ70 for 172.18.0.4/>]>"," logged_in=pvT8mDzLEO0k7UH7a8fB59AGX4uQLg1K& md.sid=s%3ApvT8mDzLEO0k7UH7a8fB59AGX4uQLg1K.hO5vEI%2Ft0am8yVkPChLDnkisx8jguWN71AKBvIKMgos
",," chunked
"," 60755790234, ""expires""",,,,,,,,
