learning_rate,z_dim,num_filters,epochs,data_dir,vaegan,test_accuracy
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.6953125
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.625
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.71875
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.734375
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.6953125
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.65625
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.6875
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.640625
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.625
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.671875
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.7265625
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.7421875
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.6640625
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.7265625
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.6484375
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.796875
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.640625
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.5859375
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.7109375
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.734375
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.6953125
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.734375
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.65625
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.703125
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.6640625
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.7265625
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.6796875
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.671875
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.6953125
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.6953125
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.7265625
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.734375
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.6875
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.765625
0.001,50.0,10.0,150.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.725806474685669
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8046875
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8671875
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8203125
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.9140625
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8671875
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.9375
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.921875
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8671875
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.859375
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.7734375
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8671875
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8515625
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.890625
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8828125
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.859375
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8984375
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.875
0.01,150.0,10.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8359375
