learning_rate,z_dim,num_filters,epochs,B,data_dir,vaegan,test_accuracy
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.265625
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.2734375
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.2265625
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.234375
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.2734375
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.234375
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.2265625
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.1796875
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.25
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.234375
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.21875
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.203125
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.1875
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.2578125
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.2265625
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.21875
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.2265625
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.171875
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.1328125
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.21875
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.1796875
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.234375
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.1953125
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.2265625
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.2734375
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.25
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.203125
0.01,30.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.14516128599643707
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.6015625
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.5234375
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.5234375
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.484375
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.546875
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.3984375
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.5078125
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.5078125
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.546875
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.5
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.4609375
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.4765625
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.5
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.4609375
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.5234375
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.546875
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.4921875
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.53125
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.5
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.5
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.46875
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.5078125
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.5625
0.01,50.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.5322580933570862
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.890625
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8828125
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.9140625
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8984375
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.875
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.921875
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.9296875
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8828125
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.90625
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8984375
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.890625
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8671875
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8828125
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.921875
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.9375
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.921875
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.890625
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8984375
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.90625
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8515625
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.9140625
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.9375
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.953125
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.890625
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.890625
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.890625
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.90625
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.8984375
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.9140625
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.9193548560142517
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.828125
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.859375
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.8359375
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.8671875
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.859375
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.8515625
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.8828125
0.001,100.0,100.0,80.0,0.5,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,1.0,0.8359375
